原始流派名称,当前代码处理结果,建议合并后简体流派名称,处理建议,理由,人工确认
润滑剂,润滑剂,润滑油,翻译/合并,与“乳液、润滑剂、润滑油、ローション”等统一为同一简体流派,
润滑油,润滑油,润滑油,保留,已是简体中文或通用规格/专名，建议保留,
若妻·幼妻,若妻·幼妻,年轻妻子,翻译/合并,与“若妻·幼妻、年輕妻子、幼妻”统一为同一简体流派,
赛车女郎,赛车女郎,赛车女郎,保留,已是简体中文或通用规格/专名，建议保留,
賽車女郎,赛车女郎,赛车女郎,翻译/合并,与“赛车女郎、賽車女郎、レースクィーン”统一为同一简体流派,
三十路,30多岁,30多岁,翻译/合并,与“30多岁、三十路”统一为同一简体流派,
散步,散步,散步,保留,已是简体中文或通用规格/专名，建议保留,
丧服,丧服,丧服,保留,已是简体中文或通用规格/专名，建议保留,
瘙痒,瘙痒,瘙痒,保留,已是简体中文或通用规格/专名，建议保留,
瘙癢,瘙痒,瘙痒,翻译/合并,与“瘙痒、瘙癢、くすぐり”统一为同一简体流派,
色狼,色狼,色狼,保留,已是简体中文或通用规格/专名，建议保留,
沙发,沙发,沙发,保留,已是简体中文或通用规格/专名，建议保留,
沙发性爱,沙发性爱,沙发性爱,保留,已是简体中文或通用规格/专名，建议保留,
晒黑,晒黑,晒黑,保留,已是简体中文或通用规格/专名，建议保留,
曬痕,曬痕,晒痕,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
上门风俗女,上门风俗女,上门风俗女,保留,已是简体中文或通用规格/专名，建议保留,
上司,上司,上司,保留,已是简体中文或通用规格/专名，建议保留,
少女,少女,少女,保留,已是简体中文或通用规格/专名，建议保留,
舌,舌,舌头,翻译/合并,与“舌、舌頭”统一为同一简体流派,
舌頭,舌頭,舌头,简体/写法统一,与“舌、舌頭”统一为同一简体流派,
设置项目,设置项目,设定作品,翻译/合并,翻译为简体中文或修正不自然写法,
社团经理,社团经理,社团经理,保留,已是简体中文或通用规格/专名，建议保留,
射精,射精,射精,保留,已是简体中文或通用规格/专名，建议保留,
射在胸部,射在胸部,射在胸部,保留,已是简体中文或通用规格/专名，建议保留,
深肤色,深肤色,深肤色,保留,已是简体中文或通用规格/专名，建议保留,
深喉,深喉,深喉,保留,已是简体中文或通用规格/专名，建议保留,
縄,縄,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
失禁,失禁,失禁,保留,已是简体中文或通用规格/专名，建议保留,
施虐受虐,施虐受虐,SM,翻译/合并,与“施虐受虐、SM”统一为同一简体流派,
湿润,湿润,湿润,保留,已是简体中文或通用规格/专名，建议保留,
湿润阴部,湿润阴部,湿润阴部,保留,已是简体中文或通用规格/专名，建议保留,
湿透,湿透,湿透,保留,已是简体中文或通用规格/专名，建议保留,
时间停止,时间停止,时间停止,保留,已是简体中文或通用规格/专名，建议保留,
食粪,食粪,食粪,保留,已是简体中文或通用规格/专名，建议保留,
食糞,食粪,食粪,翻译/合并,与“食粪、食糞”统一为同一简体流派,
時間停止,时间停止,时间停止,翻译/合并,与“时间停止、時間停止”统一为同一简体流派,
實拍,實拍,实拍,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
视讯小姐,视讯小姐,视讯小姐,保留,已是简体中文或通用规格/专名，建议保留,
手交,手交,手交,保留,已是简体中文或通用规格/专名，建议保留,
手铐,手铐,手铐,保留,已是简体中文或通用规格/专名，建议保留,
手指插入,指法/手指插入,指法/手指插入,翻译/合并,与“手指插入、指法/手指插入、指マン”统一为同一简体流派,
手コキ,手交,手交,翻译/合并,与“手交、手コキ”统一为同一简体流派,
手マン,手指爱抚,手指爱抚,翻译/合并,翻译为简体中文或修正不自然写法,
首次亮相,出道,出道,翻译/合并,与“出道、初登場、处女作、首次亮相”等统一为同一简体流派,
受付嬢,接待员,接待员,翻译/合并,与“接待员、受付嬢”统一为同一简体流派,
受虐,受虐,受虐,保留,已是简体中文或通用规格/专名，建议保留,
受虐男,受虐男,受虐男,保留,已是简体中文或通用规格/专名，建议保留,
受虐女性,受虐女性,受虐女性,保留,已是简体中文或通用规格/专名，建议保留,
瘦小身型,瘦小身型,娇小,翻译/合并,与“娇小、嬌小的、瘦小身型、ミニ系・小柄”统一为同一简体流派,
叔母さん,阿姨,阿姨,翻译/合并,与“阿姨、叔母さん”统一为同一简体流派,
熟女,熟女,熟女,保留,已是简体中文或通用规格/专名，建议保留,
熟女妈妈,熟女妈妈,熟女妈妈,保留,已是简体中文或通用规格/专名，建议保留,
束缚,束缚,捆绑,翻译/合并,与“绑缚、縛り・緊縛、龟甲捆绑、紧缚”等统一为同一简体流派,
数码马赛克,数码马赛克,数码马赛克,保留,已是简体中文或通用规格/专名，建议保留,
數位馬賽克,数码马赛克,数码马赛克,翻译/合并,与“数码马赛克、數位馬賽克、デジモ”统一为同一简体流派,
双人口交,双人口交,双人口交,保留,已是简体中文或通用规格/专名，建议保留,
双性人,双性人,双性人,保留,已是简体中文或通用规格/专名，建议保留,
水手服,水手服,水手服,保留,已是简体中文或通用规格/专名，建议保留,
水着,泳装,泳装,翻译/合并,与“水着、泳装、泳裝”统一为同一简体流派,
吮指,吮指,吮指,保留,已是简体中文或通用规格/专名，建议保留,
顺从,顺从,顺从,保留,已是简体中文或通用规格/专名，建议保留,
私服,私服,便服,翻译/合并,翻译为简体中文或修正不自然写法,
撕破丝袜,撕破丝袜,撕破丝袜,保留,已是简体中文或通用规格/专名，建议保留,
四十路,40多岁,40多岁,翻译/合并,与“40多岁、四十路”统一为同一简体流派,
送貨上門,送貨上門,上门风俗女,翻译/合并,与“上门风俗女、送貨上門”统一为同一简体流派,
素股,素股,素股,保留,已是简体中文或通用规格/专名，建议保留,
素人,素人,业余,调整现有映射,当前会处理为“素人”，建议修正语义或与同义项统一,
榻榻米,榻榻米,榻榻米,保留,已是简体中文或通用规格/专名，建议保留,
太太,太太,人妻,翻译/合并,与“人妻、日本人妻、太太、已婚婦女”统一为同一简体流派,
套装,套装,套装,保留,已是简体中文或通用规格/专名，建议保留,
套裝,套裝,套装,翻译/合并,与“套装、套裝”统一为同一简体流派,
特撮,特效,特效,翻译/合并,与“特撮、特效”统一为同一简体流派,
特效,特效,特效,保留,已是简体中文或通用规格/专名，建议保留,
体操着・ブルマ,运动服,运动服,翻译/合并,与“体操着・ブルマ、體育服、运动服”统一为同一简体流派,
体外射精,体外射精,体外射精,保留,已是简体中文或通用规格/专名，建议保留,
体验告白,体验告白,体验告白,保留,已是简体中文或通用规格/专名，建议保留,
体験告白,体验告白,体验告白,翻译/合并,与“体验告白、体験告白”统一为同一简体流派,
体育角色扮演,体育角色扮演,体育角色扮演,保留,已是简体中文或通用规格/专名，建议保留,
體育服,运动服,运动服,翻译/合并,与“体操着・ブルマ、體育服、运动服”统一为同一简体流派,
剃毛,剃毛,剃毛,保留,已是简体中文或通用规格/专名，建议保留,
剃毛阴部,剃毛阴部,剃毛阴部,保留,已是简体中文或通用规格/专名，建议保留,
天然美乳,天然美乳,美乳,翻译/合并,与“美乳、天然美乳、天然胸”统一为同一简体流派,
天然胸,天然胸,美乳,翻译/合并,与“美乳、天然美乳、天然胸”统一为同一简体流派,
舔蛋蛋,舔蛋蛋,舔蛋蛋,保留,已是简体中文或通用规格/专名，建议保留,
舔肛,舔肛,舔肛,保留,已是简体中文或通用规格/专名，建议保留,
舔乳首,舔乳首,舔乳首,保留,已是简体中文或通用规格/专名，建议保留,
舔臀,舔臀,舔臀,保留,已是简体中文或通用规格/专名，建议保留,
舔阴,舔阴,舔阴,保留,已是简体中文或通用规格/专名，建议保留,
舔陰,舔阴,舔阴,简体/写法统一,与“舔阴、舔陰、クンニ”统一为同一简体流派,
跳,跳,跳,翻译/合并,语义或来源可能有歧义，建议结合实际影片样本确认,需确认
跳蛋,跳蛋,跳蛋,保留,已是简体中文或通用规格/专名，建议保留,
跳舞,跳舞,跳舞,保留,已是简体中文或通用规格/专名，建议保留,
通姦,出轨,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
同性恋,同性恋,同性恋,保留,已是简体中文或通用规格/专名，建议保留,
童年朋友,青梅竹马,青梅竹马,翻译/合并,与“青梅竹马、童年朋友、幼なじみ”统一为同一简体流派,
童顔,娃娃脸,娃娃脸,翻译/合并,与“童顔、娃娃脸”统一为同一简体流派,
童貞,处男,处男,翻译/合并,与“处男、處男、童貞”统一为同一简体流派,
偷窥,偷窥,偷窥,保留,已是简体中文或通用规格/专名，建议保留,
投稿,投稿,投稿,保留,已是简体中文或通用规格/专名，建议保留,
兔女郎,兔女郎,兔女郎,保留,已是简体中文或通用规格/专名，建议保留,
推荐作品,推荐作品,推荐作品,保留,已是简体中文或通用规格/专名，建议保留,
腿控,腿控,腿控,保留,已是简体中文或通用规格/专名，建议保留,
吞精,吞精,吞精,保留,已是简体中文或通用规格/专名，建议保留,
臀部,臀部,臀部,保留,已是简体中文或通用规格/专名，建议保留,
脱糞,排便,排便,翻译/合并,与“排便、脱糞”统一为同一简体流派,
脱衣,脱衣,脱衣,保留,已是简体中文或通用规格/专名，建议保留,
脱衣舞娘,脱衣舞娘,脱衣舞娘,保留,已是简体中文或通用规格/专名，建议保留,
娃娃,娃娃,娃娃,保留,已是简体中文或通用规格/专名，建议保留,
娃娃脸,娃娃脸,娃娃脸,保留,已是简体中文或通用规格/专名，建议保留,
外遇,外遇,出轨,翻译/合并,与“白天出軌、不倫、不忠、出轨”等统一为同一简体流派,
完璧,完璧,完美,翻译/合并,翻译为简体中文或修正不自然写法,
完美身材,完美身材,完美身材,保留,已是简体中文或通用规格/专名，建议保留,
玩具,玩具,玩具,保留,已是简体中文或通用规格/专名，建议保留,
玩具虐待,玩具虐待,玩具虐待,保留,已是简体中文或通用规格/专名，建议保留,
玩具責め,玩具虐待,玩具虐待,翻译/合并,与“玩具虐待、玩具責め”统一为同一简体流派,
晚礼服,晚礼服,晚礼服,保留,已是简体中文或通用规格/专名，建议保留,
网袜,网袜,网袜,保留,已是简体中文或通用规格/专名，建议保留,
妄想,妄想,妄想,保留,已是简体中文或通用规格/专名，建议保留,
妄想族,家庭幻想,家庭幻想,翻译/合并,与“家庭幻想、妄想族”统一为同一简体流派,
危険日,危険日,易孕期,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
圍裙,圍裙,围裙,简体/写法统一,与“圍裙、エプロン”统一为同一简体流派,
猥褻穿著,暴露服装,暴露服装,翻译/合并,与“暴露服装、猥褻穿著、着エロ”统一为同一简体流派,
未亡人,寡妇,寡妇,翻译/合并,与“寡妇、寡婦、未亡人”统一为同一简体流派,
温泉,温泉,温泉,保留,已是简体中文或通用规格/专名，建议保留,
问卷,问卷,问卷,保留,已是简体中文或通用规格/专名，建议保留,
污言秽语,污言秽语,污言秽语,保留,已是简体中文或通用规格/专名，建议保留,
无码流出,无码流出,无码流出,保留,已是简体中文或通用规格/专名，建议保留,
无毛,无毛,无毛,保留,已是简体中文或通用规格/专名，建议保留,
无套,无套,无套,保留,已是简体中文或通用规格/专名，建议保留,
无套内射,无套内射,中出,翻译/合并,与“无套内射、中出、中出し”统一为同一简体流派,
无性婚姻,无性婚姻,无性婚姻,保留,已是简体中文或通用规格/专名，建议保留,
無碼破解,无码流出,无码流出,翻译/合并,与“无码流出、無碼破解”统一为同一简体流派,
無毛,无毛,无毛,简体/写法统一,与“白虎、无毛、無毛、パイパン”统一为同一简体流派,
吸精,吸精,吸精,保留,已是简体中文或通用规格/专名，建议保留,
洗澡,洗澡,沐浴,翻译/合并,与“沐浴、洗澡”统一为同一简体流派,
戲劇,剧情,剧情,翻译/合并,与“剧情、戲劇、ドラマ”统一为同一简体流派,
下属与同事,下属与同事,下属与同事,保留,已是简体中文或通用规格/专名，建议保留,
先輩教师,先輩教师,前辈教师,翻译/合并,翻译为简体中文或修正不自然写法,
先生,先生,教师,翻译/合并,与“教师、先生”统一为同一简体流派,
限时降价,限时降价,限时降价,保留,已是简体中文或通用规格/专名，建议保留,
相談,相談,咨询,翻译/合并,翻译为简体中文或修正不自然写法,
小便/尿失禁,小便/尿失禁,小便/尿失禁,保留,已是简体中文或通用规格/专名，建议保留,
小姐,小姐,小姐,保留,已是简体中文或通用规格/专名，建议保留,
小颜,小颜,小脸,翻译/合并,翻译为简体中文或修正不自然写法,
小阴茎,小阴茎,小阴茎,保留,已是简体中文或通用规格/专名，建议保留,
咲月ひな,咲月ひな,咲月ひな,保留,已是简体中文或通用规格/专名，建议保留,
校服,校服,校服,保留,已是简体中文或通用规格/专名，建议保留,
校园作品,校园作品,校园作品,保留,已是简体中文或通用规格/专名，建议保留,
携帯電話,携帯電話,手机,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
新年,新年,新年,保留,已是简体中文或通用规格/专名，建议保留,
新娘,新娘,新娘,保留,已是简体中文或通用规格/专名，建议保留,
年輕妻子,年輕妻子,年轻妻子,简体/写法统一,与“若妻·幼妻、年輕妻子、幼妻”统一为同一简体流派,
新人,新人,新人,保留,已是简体中文或通用规格/专名，建议保留,
形象视频,形象视频,形象视频,保留,已是简体中文或通用规格/专名，建议保留,
性爱,性爱,性爱,保留,已是简体中文或通用规格/专名，建议保留,
性伴侣,性伴侣,性伴侣,保留,已是简体中文或通用规格/专名，建议保留,
性別轉型·女性化,性别转型·女性化,性别转型·女性化,简体/写法统一,与“性別轉型·女性化、性别转型·女性化、性転換・女体化”统一为同一简体流派,
性别转型·女性化,性别转型·女性化,性别转型·女性化,保留,已是简体中文或通用规格/专名，建议保留,
性感,性感,性感,保留,已是简体中文或通用规格/专名，建议保留,
性感的,性感,性感,翻译/合并,与“性感、性感的、セクシー”统一为同一简体流派,
性教学,性教学,性教学,保留,已是简体中文或通用规格/专名，建议保留,
性教育,性教育,性教育,保留,已是简体中文或通用规格/专名，建议保留,
性奴,性奴,性奴,保留,已是简体中文或通用规格/专名，建议保留,
性骚扰,性骚扰,性骚扰,保留,已是简体中文或通用规格/专名，建议保留,
性騷擾,性骚扰,性骚扰,翻译/合并,与“痴漢、电车痴汉、性骚扰、性騷擾”统一为同一简体流派,
性転換・女体化,性别转型·女性化,性别转型·女性化,翻译/合并,与“性別轉型·女性化、性别转型·女性化、性転換・女体化”统一为同一简体流派,
興奮,興奮,兴奋,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
胸部服务,胸部服务,胸部服务,保留,已是简体中文或通用规格/专名，建议保留,
胸チラ,露乳,露乳,翻译/合并,与“露乳、胸チラ”统一为同一简体流派,
羞恥,羞耻,羞耻,翻译/合并,与“羞恥、羞耻”统一为同一简体流派,
羞耻,羞耻,羞耻,保留,已是简体中文或通用规格/专名，建议保留,
虚拟现实,虚拟现实,VR,翻译/合并,与“虚拟现实、VR、VR専用”统一为同一简体流派,
玄関,玄関,门口,翻译/合并,与“门口、玄関”统一为同一简体流派,
靴下,靴下,袜子,翻译/合并,翻译为简体中文或修正不自然写法,
学生,学生,学生,保留,已是简体中文或通用规格/专名，建议保留,
学生服,校服,校服,翻译/合并,与“校服、学生服”统一为同一简体流派,
学校,学校,学校,保留,已是简体中文或通用规格/专名，建议保留,
学校泳装,学校泳装,学校泳装,保留,已是简体中文或通用规格/专名，建议保留,
学園,学園,学校,翻译/合并,与“学校、学園”统一为同一简体流派,
学園もの,校园作品,校园作品,翻译/合并,与“校园作品、学園もの、學校作品”统一为同一简体流派,
學校泳裝,学校泳装,学校泳装,翻译/合并,与“競泳・スクール水着、学校泳装、學校泳裝”统一为同一简体流派,
學校作品,校园作品,校园作品,翻译/合并,与“校园作品、学園もの、學校作品”统一为同一简体流派,
雪白皮肤,雪白皮肤,白皙肌肤,翻译/合并,与“白皙肌肤、雪白皮肤”统一为同一简体流派,
亚洲,亚洲,亚洲,保留,已是简体中文或通用规格/专名，建议保留,
亚洲肛交,亚洲肛交,亚洲肛交,保留,已是简体中文或通用规格/专名，建议保留,
亚洲高潮,亚洲高潮,亚洲高潮,保留,已是简体中文或通用规格/专名，建议保留,
亚洲高中女生,亚洲高中女生,亚洲高中女生,保留,已是简体中文或通用规格/专名，建议保留,
亚洲紧缚,亚洲紧缚,亚洲紧缚,保留,已是简体中文或通用规格/专名，建议保留,
亚洲巨臀,亚洲巨臀,亚洲巨臀,保留,已是简体中文或通用规格/专名，建议保留,
亚洲口交,亚洲口交,亚洲口交,保留,已是简体中文或通用规格/专名，建议保留,
亚洲乱交,亚洲乱交,亚洲乱交,保留,已是简体中文或通用规格/专名，建议保留,
亚洲美女,亚洲美女,亚洲美女,保留,已是简体中文或通用规格/专名，建议保留,
亚洲女演员,亚洲女演员,亚洲女演员,保留,已是简体中文或通用规格/专名，建议保留,
亚洲熟女,亚洲熟女,亚洲熟女,保留,已是简体中文或通用规格/专名，建议保留,
亚洲阴蒂,亚洲阴蒂,亚洲阴蒂,保留,已是简体中文或通用规格/专名，建议保留,
亚洲制服,亚洲制服,亚洲制服,保留,已是简体中文或通用规格/专名，建议保留,
亚洲中出,亚洲中出,亚洲中出,保留,已是简体中文或通用规格/专名，建议保留,
颜面口交,颜面口交,颜面口交,保留,已是简体中文或通用规格/专名，建议保留,
颜面骑乘,颜面骑乘,颜面骑乘,保留,已是简体中文或通用规格/专名，建议保留,
颜射,颜射,颜射,保留,已是简体中文或通用规格/专名，建议保留,
顏面騎乘,颜面骑乘,颜面骑乘,简体/写法统一,与“颜面骑乘、顏面騎乘、顔面騎乗”统一为同一简体流派,
顏射,颜射,颜射,简体/写法统一,与“颜射、顏射、顔射、ぶっかけ”统一为同一简体流派,
顔面騎乗,颜面骑乘,颜面骑乘,简体/写法统一,与“颜面骑乘、顏面騎乘、顔面騎乗”统一为同一简体流派,
顔射,颜射,颜射,简体/写法统一,与“颜射、顏射、顔射、ぶっかけ”统一为同一简体流派,
眼镜,眼镜,眼镜,保留,已是简体中文或通用规格/专名，建议保留,
眼镜娘,眼镜娘,眼镜,翻译/合并,与“眼镜、眼镜娘、眼鏡、メガネ”等统一为同一简体流派,
眼鏡,眼镜,眼镜,翻译/合并,与“眼镜、眼镜娘、眼鏡、メガネ”等统一为同一简体流派,
眼罩,眼罩,眼罩,保留,已是简体中文或通用规格/专名，建议保留,
阳具腰带,阳具腰带,阳具腰带,保留,已是简体中文或通用规格/专名，建议保留,
阳台,阳台,阳台,保留,已是简体中文或通用规格/专名，建议保留,
洋ピン・海外輸入,海外进口,海外进口,翻译/合并,与“國外進口、海外进口、洋ピン・海外輸入”统一为同一简体流派,
药物,药物,药物,保留,已是简体中文或通用规格/专名，建议保留,
藥物,药物,药物,翻译/合并,与“药物、藥物、ドラッグ”统一为同一简体流派,
爷爷,爷爷,爷爷,保留,已是简体中文或通用规格/专名，建议保留,
野外,户外,户外,翻译/合并,与“户外、野外”统一为同一简体流派,
野外・露出,野外·露出,野外·露出,简体/写法统一,与“野外・露出、野外·露出”统一为同一简体流派,
野外·露出,野外·露出,野外·露出,保留,已是简体中文或通用规格/专名，建议保留,
业务员,业务员,业务员,保留,已是简体中文或通用规格/专名，建议保留,
業餘,素人,业余,调整现有映射,当前会处理为“素人”，建议修正语义或与同义项统一,
一对一,一对一,一对一,保留,已是简体中文或通用规格/专名，建议保留,
一人,一人,一人,保留,已是简体中文或通用规格/专名，建议保留,
医生,医生,医生,保留,已是简体中文或通用规格/专名，建议保留,
医院/诊所,医院/诊所,医院/诊所,保留,已是简体中文或通用规格/专名，建议保留,
已婚婦女,人妻,人妻,翻译/合并,与“人妻、日本人妻、太太、已婚婦女”统一为同一简体流派,
椅子,椅子,椅子,保留,已是简体中文或通用规格/专名，建议保留,
艺能人,艺能人,艺人,翻译/合并,日语式表达整体翻译为常用简体中文,
艺人,艺人,艺人,保留,已是简体中文或通用规格/专名，建议保留,
异物插入,异物插入,异物插入,保留,已是简体中文或通用规格/专名，建议保留,
異物挿入,异物插入,异物插入,简体/写法统一,与“异物插入、異物挿入”统一为同一简体流派,
義母,继母/义母,继母/义母,翻译/合并,与“继母/义母、婆婆、義母”统一为同一简体流派,
阴部,阴部,阴部,保留,已是简体中文或通用规格/专名，建议保留,
阴部特写,阴部特写,阴部特写,保留,已是简体中文或通用规格/专名，建议保留,
阴唇,阴唇,阴唇,保留,已是简体中文或通用规格/专名，建议保留,
阴道观察,阴道观察,阴道观察,保留,已是简体中文或通用规格/专名，建议保留,
淫荡,淫荡,淫荡,保留,已是简体中文或通用规格/专名，建议保留,
淫荡手淫,淫荡手淫,自慰,翻译/合并,与“打飞机、打飛機、打手槍、淫荡手淫”等统一为同一简体流派,
淫乱,淫乱,淫乱,保留,已是简体中文或通用规格/专名，建议保留,
淫乱・ハード系,淫乱,淫乱,翻译/合并,与“蕩婦、花癡、淫乱、淫乱・ハード系”等统一为同一简体流派,
淫乱女,淫乱女,淫乱,翻译/合并,与“蕩婦、花癡、淫乱、淫乱・ハード系”等统一为同一简体流派,
淫乱真实,淫乱真实,淫乱真实,保留,已是简体中文或通用规格/专名，建议保留,
淫亂真實,淫乱真实,淫乱真实,翻译/合并,与“淫乱真实、淫亂真實”统一为同一简体流派,
淫语,淫语,淫语,保留,已是简体中文或通用规格/专名，建议保留,
淫語,淫语,淫语,翻译/合并,与“淫语、淫語”统一为同一简体流派,
淫語モノ,污言秽语,污言秽语,翻译/合并,与“污言秽语、淫語モノ”统一为同一简体流派,
饮酒派对/联谊,饮酒派对/联谊,饮酒派对/联谊,保留,已是简体中文或通用规格/专名，建议保留,
饮尿,饮尿,饮尿,保留,已是简体中文或通用规格/专名，建议保留,
飲尿,饮尿,饮尿,简体/写法统一,与“饮尿、飲尿”统一为同一简体流派,
飲み会・合コン,饮酒派对/联谊,饮酒派对/联谊,翻译/合并,与“饮酒派对/联谊、飲み会・合コン”统一为同一简体流派,
硬核,硬核,硬核,保留,已是简体中文或通用规格/专名，建议保留,
硬核部门,硬核部门,硬核部门,保留,已是简体中文或通用规格/专名，建议保留,
泳池,泳池,泳池,保留,已是简体中文或通用规格/专名，建议保留,
泳装,泳装,泳装,保留,已是简体中文或通用规格/专名，建议保留,
泳裝,泳装,泳装,翻译/合并,与“水着、泳装、泳裝”统一为同一简体流派,
优等生,优等生,优等生,保留,已是简体中文或通用规格/专名，建议保留,
油浴游戏,油浴游戏,油浴游戏,保留,已是简体中文或通用规格/专名，建议保留,
游戏的真人版,游戏的真人版,游戏的真人版,保留,已是简体中文或通用规格/专名，建议保留,
幼妻,幼妻,年轻妻子,翻译/合并,与“若妻·幼妻、年輕妻子、幼妻”统一为同一简体流派,
幼なじみ,青梅竹马,青梅竹马,翻译/合并,与“青梅竹马、童年朋友、幼なじみ”统一为同一简体流派,
诱惑,诱惑,诱惑,保留,已是简体中文或通用规格/专名，建议保留,
誘惑,诱惑,诱惑,翻译/合并,与“勾引、诱惑、誘惑”统一为同一简体流派,
渔网裤袜,渔网裤袜,网袜,翻译/合并,与“网袜、渔网裤袜”统一为同一简体流派,
瑜伽,瑜伽,瑜伽,保留,已是简体中文或通用规格/专名，建议保留,
瑜伽球,瑜伽球,瑜伽球,保留,已是简体中文或通用规格/专名，建议保留,
与外国人玩,与外国人玩,外国人,翻译/合并,翻译为简体中文或修正不自然写法,
浴垫,浴垫,浴垫,保留,已是简体中文或通用规格/专名，建议保留,
浴室,浴室,浴室,保留,已是简体中文或通用规格/专名，建议保留,
慾求不滿,慾求不滿,欲求不满,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
原作合作,原作合作,原作合作,保留,已是简体中文或通用规格/专名，建议保留,
原作コラボ,原作合作,原作合作,翻译/合并,与“原作合作、原作コラボ”统一为同一简体流派,
远程操作,远程操作,远程操作,保留,已是简体中文或通用规格/专名，建议保留,
约会,约会,约会,保留,已是简体中文或通用规格/专名，建议保留,
約會,約會,约会,简体/写法统一,与“约会、約會、デート”统一为同一简体流派,
孕妇,孕妇,孕妇,保留,已是简体中文或通用规格/专名，建议保留,
孕婦,孕妇,孕妇,简体/写法统一,与“妊婦、孕妇、孕婦”统一为同一简体流派,
孕ませ,孕妇,怀孕,调整现有映射,当前会处理为“孕妇”，建议修正语义或与同义项统一,
运动,运动,运动,保留,已是简体中文或通用规格/专名，建议保留,
运动短裤,运动短裤,运动短裤,保留,已是简体中文或通用规格/专名，建议保留,
运动短裤/灯笼裤,运动短裤/灯笼裤,运动短裤/灯笼裤,保留,已是简体中文或通用规格/专名，建议保留,
运动服,运动服,运动服,保留,已是简体中文或通用规格/专名，建议保留,
运动员,运动员,运动员,保留,已是简体中文或通用规格/专名，建议保留,
運動,运动,运动,翻译/合并,与“运动、運動、スポーツ”统一为同一简体流派,
再會,再會,再会,简体/写法统一,繁体、日文汉字或全角写法统一为简体/半角形式,
早漏,早泄,早泄,翻译/合并,与“早漏、早泄”统一为同一简体流派,
早泄,早泄,早泄,保留,已是简体中文或通用规格/专名，建议保留,
宅男宅女,宅男宅女,宅男宅女,保留,已是简体中文或通用规格/专名，建议保留,
展场女孩,展场女孩,展场女孩,保留,已是简体中文或通用规格/专名，建议保留,
站立位,站立位,站立位,保留,已是简体中文或通用规格/专名，建议保留,
站立性爱,站立性爱,站立性爱,保留,已是简体中文或通用规格/专名，建议保留,
站立性交,站立性交,站立性爱,翻译/合并,与“站立性爱、站立性交”统一为同一简体流派,
长发,长发,长发,保留,已是简体中文或通用规格/专名，建议保留,
长脚,长脚,长脚,保留,已是简体中文或通用规格/专名，建议保留,
长时间,长时间,长时间,保留,已是简体中文或通用规格/专名，建议保留,
长筒袜/丝袜,长筒袜/丝袜,长筒袜/丝袜,保留,已是简体中文或通用规格/专名，建议保留,
長身,高挑,高挑,翻译/合并,与“高、高个子、高挑、長身”统一为同一简体流派,
丈夫,丈夫,丈夫,保留,已是简体中文或通用规格/专名，建议保留,
折磨,折磨,折磨,保留,已是简体中文或通用规格/专名，建议保留,
着物・浴衣,和服/浴衣,和服/浴衣,翻译/合并,与“和服・浴衣、和服/浴衣、着物・浴衣”统一为同一简体流派,
着衣,着装,着装,翻译/合并,与“着衣、着装”统一为同一简体流派,
着装,着装,着装,保留,已是简体中文或通用规格/专名，建议保留,
着エロ,暴露服装,暴露服装,翻译/合并,与“暴露服装、猥褻穿著、着エロ”统一为同一简体流派,
真面目,真面目,认真,翻译/合并,翻译为简体中文或修正不自然写法,
枕営业,枕営业,潜规则,翻译/合并,繁体、日文汉字或全角写法统一为简体/半角形式,
振动,振动,震动玩具,翻译/合并,与“振动、震动玩具”统一为同一简体流派,
震动玩具,震动玩具,震动玩具,保留,已是简体中文或通用规格/专名，建议保留,
正常位,正常位,正常位,保留,已是简体中文或通用规格/专名，建议保留,
正太控,正太控,正太控,保留,已是简体中文或通用规格/专名，建议保留,
职场霸凌,职场霸凌,职场霸凌,保留,已是简体中文或通用规格/专名，建议保留,
职场女性,职场女性,职场女性,保留,已是简体中文或通用规格/专名，建议保留,
职业角色,职业角色,职业角色,保留,已是简体中文或通用规格/专名，建议保留,
职员,职员,职员,保留,已是简体中文或通用规格/专名，建议保留,
職業色々,职业角色,职业角色,翻译/合并,与“各種職業、职业角色、職業色々”统一为同一简体流派,
指法/手指插入,指法/手指插入,指法/手指插入,保留,已是简体中文或通用规格/专名，建议保留,
指マン,指法/手指插入,指法/手指插入,翻译/合并,与“手指插入、指法/手指插入、指マン”统一为同一简体流派,
制服,制服,制服,保留,已是简体中文或通用规格/专名，建议保留,
治愈系,治愈系,治愈系,保留,已是简体中文或通用规格/专名，建议保留,
中出,中出,中出,保留,已是简体中文或通用规格/专名，建议保留,
中出し,中出,中出,翻译/合并,与“无套内射、中出、中出し”统一为同一简体流派,
主妇,主妇,主妇,保留,已是简体中文或通用规格/专名，建议保留,
主观口交,主观口交,主观口交,保留,已是简体中文或通用规格/专名，建议保留,
